ICE;IAMOT
Marianne Hörlesberger, AIT Austrian Institute of Technology, Austria;
Marko  Seppänen, Tampere University of Technology, FINLAND;
Marcus Kurth, HTGW Konstanz, Germany;
Margherita Forcolin, MF EuroConsulting, Netherlands;
Maria Marques, UNINOVA, GRIS, Portugal;
Marian Sorin Nistor, Universität der Bundeswehr München, Computer Science, Germany;
Mariangela Lazoi, University of Salento, Italy;
Marianne Hoerlesberger, Austrian Institute of Technology, AIT Austrian Institute of Technology, Austria;
Marko Seppänen, Tampere University of Technology, Industrial management, Finland;
Markus Rabe, TU Dortmund, Germany;
Mauricio Camargo, Université de Lorraine, France;
Michael Bauer;
Michael Menth, University of Tübingen, Germany;
Michael Mörike, Intgrata Stiftung für humane Nutzung der IT, Germany;
Michael Ortiz, Ferdinand Steinbeis Insitut, Germany;
Michael Weiss, Carleton University, Canada;
Mihai Sanduleac, University Politehnica of Bucharest, Power engineering, Romania;
Mikko Apiola, University of Eastern Finland, Finland;
Nejib Moalla, University Lumiere Lyon 2, France;
Nenad Stojanovic, Nissatech, Serbia;
Nicola Marsden, Heilbronn University, Germany;
Nicolai Heinzelmann, Konstanz Universitiy of Applied Sciences, IST Institute, Germany;
Nils Meyer-Larsen, ISL Institute of Shipping Economics and Logistics, Germany;
Nobert Jastroch, MET Communications GmbH, Germany;
Nuno Costa, IPS-ESTSetubal, Portugal;
Ovidiu Stan, Technical University of Cluj Napoca, Faculty of Automation and Computer Science, Department of Automation, Romania;
Özlem Özgöbek, Norwegian University of Science and Technology (NTNU), Norway;
Paolo Paganelli, Bluegreen Strategy, Italy;
Patrick Müller, TCI Transformation Consulting International, Germany;
"Paul Barsanescu, “Gheorghe Asachi"" Technical University of Iasi, Mechanical Engineering, Mechatronics and Robotics, Romania";
Paulo Eigi Miyagi, University of São Paulo, Mechatronics Engineering, Brazil;
Paulo Figueiras, UNINOVA, GRIS, Portugal;
Paulo Moura Oliveira, UTAD University, Portugal;
Pedro Pereira, CTS-UNINOVA /  FCT NOVA, Portugal;
Pekka Siltanen, VTT Technical Research Centre of Finland, Finland;
Peter Klein, User Interface Design GmbH, Germany;
Petros  Daras, CERTH, Greece;
Philip Schäfer, Heilbronn University, Germany;
R.B.  Seno Wulung  Politeknik ATK, Ministry of Industry, Republic of Indonesia;
Rainer Keller, Hochschule für Technik Stuttgart, Germany;
Raquel Melo de Almeida, KnowledgeBiz Consulting, Portugal;
Raquel Sanchis, Universitat Politècnica de València, Spain;
Raul Poler, Universitat Politècnica de València, Spain;
Rebecca Bulander, Hochschule Pforzheim, Deutschland;
Regis Decorme, R2M Solution, France;
Renaldas Urniezius, Kaunas University of Technology, Lithuania;
Ricardo Goncalves, New University of Lisbon, UNINOVA, Portugal;
Rob Dekkers, University of Glasgow, Scotland;
Robert Bierwolf, IEEE TEMS, The Netherlands;
Robert Christian Thomann, MVV Energie AG, Innovationsmanagement, Germany;
Roland Ortt, Delft University of Technology, the Netherlands;
Romeo Bandinelli, University of Florence, Italy;
Ruben Costa, UNINOVA, Portugal;
Rui Neves-Silva, Universidade Nova de Lisboa – FCT, Portugal;
Saku Mäkinen, Tampere University of Technology, Finland;
Satya Shah, University of Greenwich, UK;
Sayed Chhattan, Shah Mobile Grid and Cloud Computing Lab, Hankuk University of Foreign Studies, Korea;
Scott Woodroofe Cunningham, Delft University of Technology, Faculty of Technology, Policy and Management, Netherlands;
Sebastian Scholze, ATB-Bremen, Germany;
Sergio  Terzi, Politecnico di Milano, Italy;
Sigurd Schacht, Hochschule Heilbronn, Germany;
Soudabeh Khodambashi, Norvegian University of Science and Technology, Norway;
